AccessionID,AccessionName,SampleID,SampleName,AnonName,PopulationName,Latitude,Longitude,Altitude,HaveBGISeq,BGIReadPairs
A25203,LB-2-7,S45203,2-7,LBM03C02,LB-2,-36.6755,146.26477,236,TRUE,41298776
A25204,LB-2-8,S45204,2-8,LBM03D02,LB-2,-36.6755,146.26477,236,TRUE,37801483
A25205,LB-2-9,S45205,2-9,LBM03E02,LB-2,-36.6755,146.26477,236,TRUE,46734686
A25206,LB-2-10,S45206,2-10,LBM03F02,LB-2,-36.6755,146.26477,236,FALSE,NA
A25207,LB-14-1,S45207,14-1,LBM03G02,LB-14,-32.389167,150.881667,147,TRUE,39518203
A25208,LB-14-2,S45208,14-2,LBM03H02,LB-14,-32.389167,150.881667,147,FALSE,NA
A25209,LB-14-3,S45209,14-3,LBM03A03,LB-14,-32.389167,150.881667,147,FALSE,NA
A25210,LB-14-4,S45210,14-4,LBM03B03,LB-14,-32.389167,150.881667,147,FALSE,NA
A25211,LB-14-5,S45211,14-5,LBM03C03,LB-14,-32.389167,150.881667,147,TRUE,56966820
A25212,LB-14-6,S45212,14-6,LBM03D03,LB-14,-32.389167,150.881667,147,TRUE,53048180
A25213,LB-14-7,S45213,14-7,LBM03E03,LB-14,-32.389167,150.881667,147,FALSE,NA
A25214,LB-14-8,S45214,14-8,LBM03F03,LB-14,-32.389167,150.881667,147,FALSE,NA
A25215,LB-14-9,S45215,14-9,LBM03G03,LB-14,-32.389167,150.881667,147,FALSE,NA
A25216,LB-14-10,S45216,14-10,LBM03H03,LB-14,-32.389167,150.881667,147,FALSE,NA
A25217,LB-5-1,S45217,5-1,LBM03A04,LB-5,-33.710145,149.52355,978,FALSE,NA
A25218,LB-5-2,S45218,5-2,LBM03B04,LB-5,-33.710145,149.52355,978,TRUE,49624951
A25219,LB-5-3,S45219,5-3,LBM03C04,LB-5,-33.710145,149.52355,978,TRUE,50380069
A25220,LB-5-4,S45220,5-4,LBM03D04,LB-5,-33.710145,149.52355,978,TRUE,51703652
A25221,LB-5-5,S45221,5-5,LBM03E04,LB-5,-33.710145,149.52355,978,TRUE,54787808
A25222,LB-5-6,S45222,5-6,LBM03F04,LB-5,-33.710145,149.52355,978,TRUE,41933650
A25223,LB-5-7,S45223,5-7,LBM03G04,LB-5,-33.710145,149.52355,978,FALSE,NA
A25224,LB-5-8,S45224,5-8,LBM03H04,LB-5,-33.710145,149.52355,978,FALSE,NA
A25225,LB-5-9,S45225,5-9,LBM03A05,LB-5,-33.710145,149.52355,978,FALSE,NA
A25226,LB-5-10,S45226,5-10,LBM03B05,LB-5,-33.710145,149.52355,978,TRUE,51275104
A25227,LB-10-1,S45227,10-1,LBM03C05,LB-10,-37.285278,143.77778,321,TRUE,53669650
A25228,LB-10-2,S45228,10-2,LBM03D05,LB-10,-37.285278,143.77778,321,TRUE,46794453
A25229,LB-10-3,S45229,10-3,LBM03E05,LB-10,-37.285278,143.77778,321,FALSE,NA
A25230,LB-10-4,S45230,10-4,LBM03F05,LB-10,-37.285278,143.77778,321,TRUE,52960120
A25231,LB-10-5,S45231,10-5,LBM03G05,LB-10,-37.285278,143.77778,321,TRUE,41139477
A25232,LB-10-6,S45232,10-6,LBM03H05,LB-10,-37.285278,143.77778,321,FALSE,NA
A25233,LB-10-7,S45233,10-7,LBM03A06,LB-10,-37.285278,143.77778,321,FALSE,NA
A25234,LB-10-8,S45234,10-8,LBM03B06,LB-10,-37.285278,143.77778,321,FALSE,NA
A25235,LB-10-9,S45235,10-9,LBM03C06,LB-10,-37.285278,143.77778,321,FALSE,NA
A25236,LB-10-10,S45236,10-10,LBM03D06,LB-10,-37.285278,143.77778,321,TRUE,41836464
A25237,LB-T1-1,S45237,T1-1,LBM03E06,LB-T1,-35.26495,147.310133,265,TRUE,32528383
A25238,LB-T1-2,S45238,T1-2,LBM03F06,LB-T1,-35.26495,147.310133,265,TRUE,40246215
A25239,LB-T1-3,S45239,T1-3,LBM03G06,LB-T1,-35.26495,147.310133,265,TRUE,48047419
A25240,LB-T1-4,S45240,T1-4,LBM03H06,LB-T1,-35.26495,147.310133,265,TRUE,43988335
A25241,LB-T1-5,S45241,T1-5,LBM03A07,LB-T1,-35.26495,147.310133,265,FALSE,NA
A25242,LB-T1-6,S45242,T1-6,LBM03B07,LB-T1,-35.26495,147.310133,265,TRUE,53517087
A25243,LB-T1-7,S45243,T1-7,LBM03C07,LB-T1,-35.26495,147.310133,265,TRUE,49774537
A25244,LB-T1-8,S45244,T1-8,LBM03D07,LB-T1,-35.26495,147.310133,265,TRUE,45910262
A25245,LB-T1-9,S45245,T1-9,LBM03E07,LB-T1,-35.26495,147.310133,265,TRUE,48015752
A25246,LB-T1-10,S45246,T1-10,LBM03F07,LB-T1,-35.26495,147.310133,265,TRUE,45805044
A25247,LB-19-1,S45247,19-1,LBM03G07,LB-19,-37.179444,144.483333,517,TRUE,49637088
A25248,LB-19-2,S45248,19-2,LBM03H07,LB-19,-37.179444,144.483333,517,FALSE,NA
A25249,LB-19-3,S45249,19-3,LBM03A08,LB-19,-37.179444,144.483333,517,FALSE,NA
A25250,LB-19-4,S45250,19-4,LBM03B08,LB-19,-37.179444,144.483333,517,FALSE,NA
A25251,LB-19-5,S45251,19-5,LBM03C08,LB-19,-37.179444,144.483333,517,FALSE,NA
A25252,LB-19-6,S45252,19-6,LBM03D08,LB-19,-37.179444,144.483333,517,TRUE,49032014
A25253,LB-19-7,S45253,19-7,LBM03E08,LB-19,-37.179444,144.483333,517,TRUE,49847607
A25254,LB-19-8,S45254,19-8,LBM03F08,LB-19,-37.179444,144.483333,517,TRUE,40956578
